"Inicio del informe","Fin del informe","Nombre de la campaña",Edad,Sexo,"Entrega de la campaña","Presupuesto del conjunto de anuncios","Tipo de presupuesto del conjunto de anuncios","Importe gastado (COP)",Impresiones,Alcance,"Clics (todos)","Clics en el enlace","CTR único (porcentaje de clics en el enlace)","CPC (costo por clic en el enlace) (COP)",Resultados,"Indicador de resultado","Costo por resultados",Finalización,"Configuración de atribución","CPM (costo por mil impresiones) (COP)","ROAS (retorno de la inversión en publicidad) de compras",Frecuencia,Compras
2025-11-01,2026-03-20,"F1 - TRÁFICO IG - ENGANCHE - EFFI WOMAN  - VIDEOS - 21/10/25",65+,female,active,10000,Diario,18022,2167,903,80,85,7.751938,212.029114,84,profile_visit_view,214.55326971,"En curso","7 días tras clic o 1 día tras visualización",8316.78572,,2.399779,
2025-11-01,2026-03-20,"F1 - TRÁFICO IG - ENGANCHE - EFFI WOMAN  - VIDEOS - 21/10/25",65+,male,active,10000,Diario,2350,473,245,18,18,5.714286,130.566239,18,profile_visit_view,130.5662389,"En curso","7 días tras clic o 1 día tras visualización",4968.694081,,1.930612,
2025-11-01,2026-03-20,"F1 - TRÁFICO IG - ENGANCHE - EFFI WOMAN  - VIDEOS - 21/10/25",65+,unknown,active,10000,Diario,333,51,31,1,2,6.451613,166.513625,2,profile_visit_view,166.51362467,"En curso","7 días tras clic o 1 día tras visualización",6529.946066,,1.645161,
2025-11-01,2026-03-20,"F1 - TRÁFICO IG - ENGANCHE - EFFI WOMAN  - VIDEOS - 21/10/25",Unknown,female,active,10000,Diario,40,5,5,0,,0,,,,,"En curso","7 días tras clic o 1 día tras visualización",8000.654639,,1,
2025-11-01,2026-03-20,"🟢F2 - VENTAS - WHATSAPP - EFFISYSTEMS - VIDS - 26/10/25",18-24,female,inactive,"Con el presupuesto del conjunto de anuncios",0,289917,14530,6768,698,254,3.38357,1141.404076,155,actions:onsite_conversion.messaging_conversation_started_7d,1870.42990555,"En curso","7 días tras clic o 1 día tras visualización",19952.96871,,2.146868,
2025-11-01,2026-03-20,"🟢F2 - VENTAS - WHATSAPP - EFFISYSTEMS - VIDS - 26/10/25",18-24,male,inactive,"Con el presupuesto del conjunto de anuncios",0,72208,3771,2044,151,56,2.201566,1289.434243,30,actions:onsite_conversion.messaging_conversation_started_7d,2406.94392095,"En curso","7 días tras clic o 1 día tras visualización",19148.320771,,1.844912,
2025-11-01,2026-03-20,"🟢F2 - VENTAS - WHATSAPP - EFFISYSTEMS - VIDS - 26/10/25",18-24,unknown,inactive,"Con el presupuesto del conjunto de anuncios",0,2800,122,78,1,,0,,,,,"En curso","7 días tras clic o 1 día tras visualización",22950.351951,,1.564103,
2025-11-01,2026-03-20,"🟢F2 - VENTAS - WHATSAPP - EFFISYSTEMS - VIDS - 26/10/25",25-34,female,inactive,"Con el presupuesto del conjunto de anuncios",0,646423,38234,19373,1519,568,2.642853,1138.068127,316,actions:onsite_conversion.messaging_conversation_started_7d,2045.64144326,"En curso","7 días tras clic o 1 día tras visualización",16907.011981,,1.973571,
2025-11-01,2026-03-20,"🟢F2 - VENTAS - WHATSAPP - EFFISYSTEMS - VIDS - 26/10/25",25-34,male,inactive,"Con el presupuesto del conjunto de anuncios",0,219479,14806,7723,433,122,1.411369,1799.007492,60,actions:onsite_conversion.messaging_conversation_started_7d,3657.98190026,"En curso","7 días tras clic o 1 día tras visualización",14823.646766,,1.917131,
2025-11-01,2026-03-20,"🟢F2 - VENTAS - WHATSAPP - EFFISYSTEMS - VIDS - 26/10/25",25-34,unknown,inactive,"Con el presupuesto del conjunto de anuncios",0,8832,500,288,28,9,2.777778,981.330483,5,actions:onsite_conversion.messaging_conversation_started_7d,1766.39486962,"En curso","7 días tras clic o 1 día tras visualización",17663.948696,,1.736111,
