"Inicio del informe","Fin del informe","Nombre del conjunto de anuncios","Entrega del conjunto de anuncios","Presupuesto del conjunto de anuncios","Tipo de presupuesto del conjunto de anuncios","Importe gastado (COP)",Impresiones,Alcance,"Clics (todos)","Clics en el enlace","CTR único (porcentaje de clics en el enlace)","CPC (costo por clic en el enlace) (COP)",Resultados,"Indicador de resultado","Costo por resultados",Finalización,Inicio,"Configuración de atribución",Puja,"Tipo de puja","Último cambio significativo","CPM (costo por mil impresiones) (COP)","ROAS (retorno de la inversión en publicidad) de compras",Frecuencia,Compras
2025-11-01,2026-03-20,"GRUPO EFFI - ADVTG - PROMPT DIRECTO",inactive,20000,Diario,10737,890,810,8,4,0.493827,2684.25,,,,"En curso",2026-02-28,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",0,ABSOLUTE_OCPM,2026-03-03T18:57:24-0500,12064.044944,,1.098765,
2025-11-01,2026-03-20,"GRUPO EFFI - ADVTG - ABIERTO - MEDELLIN",not_delivering,20000,Diario,32913,2816,2206,36,17,0.770626,1936.058824,2,actions:offsite_conversion.fb_pixel_complete_registration,16456.5,"En curso",2026-02-28,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",0,ABSOLUTE_OCPM,2026-03-03T18:52:07-0500,11687.855114,,1.276519,
2025-11-01,2026-03-20,Broad,not_delivering,900000,Diario,0,0,0,0,,0,,,,,"En curso",2024-11-24,-,0,ABSOLUTE_OCPM,0,0,,0,
2025-11-01,2026-03-20,"CAEX - ADVANTAGE (35 - 45)",inactive,12000,Diario,0,0,0,0,,0,,,,,"En curso",2025-02-08,-,0,ABSOLUTE_OCPM,0,0,,0,
2025-11-01,2026-03-20,"CAEX - ADVANTAGE (25 - 45)",not_delivering,12000,Diario,0,0,0,0,,0,,,,,"En curso",2025-02-08,-,0,ABSOLUTE_OCPM,0,0,,0,
2025-11-01,2026-03-20,"CAEX - ADVANTAGE (25 - 34)",not_delivering,12000,Diario,0,0,0,0,,0,,,,,"En curso",2025-02-09,-,0,ABSOLUTE_OCPM,0,0,,0,
2025-11-01,2026-03-20,"CAEX - ADVANTAGE (25 - 34)",not_delivering,12000,Diario,0,0,0,0,,0,,,,,"En curso",2025-02-09,-,0,ABSOLUTE_OCPM,0,0,,0,
2025-11-01,2026-03-20,"CAEX - ADVANTAGE (25 - 34)",not_delivering,12000,Diario,0,0,0,0,,0,,,,,"En curso",2025-02-09,-,0,ABSOLUTE_OCPM,0,0,,0,
2025-11-01,2026-03-20,"INDIRECTO SYSTEMS",not_delivering,9375,Diario,0,0,0,0,,0,,,,,"En curso",2025-03-03,-,0,ABSOLUTE_OCPM,0,0,,0,
2025-11-01,2026-03-20,"DIRECTO SYSTEMS",not_delivering,9375,Diario,0,0,0,0,,0,,,,,"En curso",2025-03-03,-,0,ABSOLUTE_OCPM,0,0,,0,
