"Inicio del informe","Fin del informe","Nombre del anuncio","Entrega del anuncio","Presupuesto del conjunto de anuncios","Tipo de presupuesto del conjunto de anuncios","Importe gastado (COP)",Impresiones,Alcance,"Clics (todos)","Clics en el enlace","CTR único (porcentaje de clics en el enlace)","CPC (costo por clic en el enlace) (COP)",Resultados,"Indicador de resultado","Costo por resultados",Finalización,"Configuración de atribución",Puja,"Tipo de puja","Último cambio significativo","Clasificación de calidad","Clasificación del porcentaje de interacción","Clasificación del porcentaje de conversiones","Nombre del conjunto de anuncios","CPM (costo por mil impresiones) (COP)","ROAS (retorno de la inversión en publicidad) de compras",Frecuencia,Compras
2025-11-01,2026-03-20,"IMG 2",not_delivering,40000,Diario,0,0,0,0,,0,,,,,"En curso",-,0,ABSOLUTE_OCPM,2025-10-20T19:20:09-0500,-,-,-,"GRUPO EFFI - ADVTG - PROMPT DIRECTO - IMG",0,,0,
2025-11-01,2026-03-20,"IMG 3",not_delivering,40000,Diario,0,0,0,0,,0,,,,,"En curso",-,0,ABSOLUTE_OCPM,2025-10-20T19:20:09-0500,-,-,-,"GRUPO EFFI - ADVTG - PROMPT DIRECTO - IMG",0,,0,
2025-11-01,2026-03-20,Evento,not_delivering,"Con el presupuesto de la campaña",0,0,0,0,0,,0,,,,,"En curso",-,0,ABSOLUTE_OCPM,2025-10-22T11:26:41-0500,-,-,-,"EFFIWOMAN - ADVTG",0,,0,
2025-11-01,2026-03-20,"IMG 01",not_delivering,"Con el presupuesto de la campaña",0,0,0,0,0,,0,,,,,"En curso",-,0,ABSOLUTE_OCPM,2025-10-22T11:26:41-0500,-,-,-,"EFFIWOMAN - ADVTG",0,,0,
2025-11-01,2026-03-20,"VID 1 - Copia",not_delivering,"Con el presupuesto de la campaña",0,9576,269,165,2,1,0.606061,9576,1,actions:onsite_conversion.messaging_conversation_started_7d,9576,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2025-11-10T15:19:55-0500,-,-,-,"EFFICOMMERCE - RMKT TRIFASICO",35598.513011,,1.630303,
2025-11-01,2026-03-20,"VID 2",not_delivering,"Con el presupuesto de la campaña",0,42051,1331,662,13,4,0.60423,10512.75,2,actions:onsite_conversion.messaging_conversation_started_7d,21025.5,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2025-11-10T15:19:55-0500,-,-,-,"EFFICOMMERCE - RMKT TRIFASICO",31593.538693,,2.010574,
2025-11-01,2026-03-20,"VID 3",not_delivering,"Con el presupuesto de la campaña",0,6849,196,135,1,,0,,,,,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2025-11-10T15:19:55-0500,-,-,-,"EFFICOMMERCE - RMKT TRIFASICO",34943.877551,,1.451852,
2025-11-01,2026-03-20,6,not_delivering,"Con el presupuesto de la campaña",0,117872,112360,99546,1125,,0,,83064,actions:post_engagement,1.41905037,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2025-11-26T18:47:13-0500,-,-,-,"IG SARA - ADVTG - PROMPT DIRECTO",1049.056604,,1.128724,
2025-11-01,2026-03-20,7,not_delivering,"Con el presupuesto de la campaña",0,42929,46780,35911,760,122,0.336944,351.877049,37734,actions:post_engagement,1.13767425,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2025-11-26T18:47:13-0500,-,-,-,"IG SARA - ADVTG - PROMPT DIRECTO",917.678495,,1.302665,
2025-11-01,2026-03-20,1,active,"Con el presupuesto de la campaña",0,2847,681,533,0,,0,,406,video_thruplay_watched_actions,7.01231527,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,0,-,-,-,"IG JUAN - ADVTG - ABIERTO",4180.61674,,1.277674,
2025-11-01,2026-03-20,4,active,"Con el presupuesto de la campaña",0,281,128,128,0,,0,,31,video_thruplay_watched_actions,9.06451613,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,0,-,-,-,"IG JUAN - ADVTG - ABIERTO",2195.3125,,1,
2025-11-01,2026-03-20,3,active,"Con el presupuesto de la campaña",0,5661,1383,1003,2,,0,,892,video_thruplay_watched_actions,6.34641256,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,0,-,-,-,"IG JUAN - ADVTG - ABIERTO",4093.275488,,1.378863,
2025-11-01,2026-03-20,2,active,"Con el presupuesto de la campaña",0,642,199,181,0,,0,,104,video_thruplay_watched_actions,6.17307692,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,0,-,-,-,"IG JUAN - ADVTG - ABIERTO",3226.130653,,1.099448,
2025-11-01,2026-03-20,"IMG 7",not_delivering,25000,Diario,0,0,0,0,,0,,,,,"En curso",-,0,ABSOLUTE_OCPM,0,-,-,-,"EFFICOMMERCE - ADVTG - ABIERTO",0,,0,
2025-11-01,2026-03-20,"IMG 2",not_delivering,25000,Diario,0,0,0,0,,0,,,,,"En curso",-,0,ABSOLUTE_OCPM,0,-,-,-,"EFFICOMMERCE - ADVTG - ABIERTO",0,,0,
2025-11-01,2026-03-20,"IMG 1",not_delivering,25000,Diario,0,0,0,0,,0,,,,,"En curso",-,0,ABSOLUTE_OCPM,0,-,-,-,"EFFICOMMERCE - ADVTG - ABIERTO",0,,0,
2025-11-01,2026-03-20,"IMG 9",not_delivering,25000,Diario,0,0,0,0,,0,,,,,"En curso",-,0,ABSOLUTE_OCPM,0,-,-,-,"EFFICOMMERCE - ADVTG - ABIERTO",0,,0,
2025-11-01,2026-03-20,"IMG 6",not_delivering,25000,Diario,0,0,0,0,,0,,,,,"En curso",-,0,ABSOLUTE_OCPM,0,-,-,-,"EFFICOMMERCE - ADVTG - ABIERTO",0,,0,
2025-11-01,2026-03-20,"IMG 5",not_delivering,25000,Diario,0,0,0,0,,0,,,,,"En curso",-,0,ABSOLUTE_OCPM,0,-,-,-,"EFFICOMMERCE - ADVTG - ABIERTO",0,,0,
2025-11-01,2026-03-20,"IMG 10",not_delivering,25000,Diario,0,0,0,0,,0,,,,,"En curso",-,0,ABSOLUTE_OCPM,0,-,-,-,"EFFICOMMERCE - ADVTG - ABIERTO",0,,0,
2025-11-01,2026-03-20,"IMG 11",not_delivering,25000,Diario,0,0,0,0,,0,,,,,"En curso",-,0,ABSOLUTE_OCPM,0,-,-,-,"EFFICOMMERCE - ADVTG - ABIERTO",0,,0,
2025-11-01,2026-03-20,"IMG 3",not_delivering,25000,Diario,0,0,0,0,,0,,,,,"En curso",-,0,ABSOLUTE_OCPM,0,-,-,-,"EFFICOMMERCE - ADVTG - ABIERTO",0,,0,
2025-11-01,2026-03-20,"IMG 8",not_delivering,25000,Diario,0,0,0,0,,0,,,,,"En curso",-,0,ABSOLUTE_OCPM,0,-,-,-,"EFFICOMMERCE - ADVTG - ABIERTO",0,,0,
2025-11-01,2026-03-20,"IMG 4",not_delivering,25000,Diario,0,0,0,0,,0,,,,,"En curso",-,0,ABSOLUTE_OCPM,0,-,-,-,"EFFICOMMERCE - ADVTG - ABIERTO",0,,0,
2025-11-01,2026-03-20,"VID 1",not_delivering,25000,Diario,0,0,0,0,,0,,,,,"En curso",-,0,ABSOLUTE_OCPM,0,-,-,-,"EFFICOMMERCE - ADVTG - ABIERTO",0,,0,
2025-11-01,2026-03-20,"IMG 12",not_delivering,25000,Diario,0,0,0,0,,0,,,,,"En curso",-,0,ABSOLUTE_OCPM,0,-,-,-,"EFFICOMMERCE - ADVTG - ABIERTO",0,,0,
2025-11-01,2026-03-20,"VID 2",not_delivering,25000,Diario,0,0,0,0,,0,,,,,"En curso",-,0,ABSOLUTE_OCPM,0,-,-,-,"EFFICOMMERCE - ADVTG - ABIERTO",0,,0,
2025-11-01,2026-03-20,1,not_delivering,"Con el presupuesto de la campaña",0,774,427,427,11,3,0.702576,258,291,actions:post_engagement,2.65979381,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2025-11-26T18:47:13-0500,-,-,-,"IG SARA - ADVTG - PROMPT DIRECTO",1812.64637,,1,
2025-11-01,2026-03-20,5,not_delivering,"Con el presupuesto de la campaña",0,352,177,176,2,,0,,90,actions:post_engagement,3.91111111,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2025-11-26T18:47:13-0500,-,-,-,"IG SARA - ADVTG - PROMPT DIRECTO",1988.700565,,1.005682,
2025-11-01,2026-03-20,4,not_delivering,"Con el presupuesto de la campaña",0,146365,128215,108829,4031,12,0.011026,12197.083333,99247,actions:post_engagement,1.4747549,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2025-11-26T18:47:13-0500,-,-,-,"IG SARA - ADVTG - PROMPT DIRECTO",1141.5591,,1.178133,
